mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__criterion,param_model__class_weight,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.6504931926727295,0.11854086632965789,0.12257380485534668,0.03236396873602124,200,10,2,log2,12,entropy,balanced,True,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 12, 'model__criterion': 'entropy', 'model__class_weight': 'balanced', 'model__bootstrap': True}",0.9735609457301845,0.9934199134199134,1.0,0.9867485026389136,0.9530521509252583,0.981356302542854,0.01663782780756744,12,0.9983497630847993,0.9966826333265331,0.996682417592839,0.9950201505720293,0.9966874341874342,0.9966844797527271,0.0010529175265211563
0.5914903163909913,0.05833731988350622,0.10517463684082032,0.01327775016123071,200,6,5,log2,6,gini,,True,"{'model__n_estimators': 200, 'model__min_samples_split': 6, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 6, 'model__criterion': 'gini', 'model__class_weight': None, 'model__bootstrap': True}",0.9736659736659736,0.9867532467532468,0.9867485026389136,0.9667850540953918,0.9462719298245614,0.9720449413956175,0.015013801951557952,24,0.9966826333265331,0.9883816528879061,0.9933588378434877,0.9850479798855727,0.9917195845534608,0.991038137699392,0.004016198502232081
1.3913365840911864,0.0709891117266635,0.24581971168518066,0.04630655601923174,500,4,2,sqrt,16,gini,balanced,False,"{'model__n_estimators': 500, 'model__min_samples_split': 4, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 16, 'model__criterion': 'gini', 'model__class_weight': 'balanced', 'model__bootstrap': False}",0.9735609457301845,0.9934199134199134,1.0,0.9735883294787404,0.9663731297941824,0.9813884636846042,0.012951582525310694,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.5130013942718505,0.33924691419795905,0.24985651969909667,0.03071764997414684,400,4,5,,6,gini,balanced_subsample,False,"{'model__n_estimators': 400, 'model__min_samples_split': 4, 'model__min_samples_leaf': 5, 'model__max_features': None, 'model__max_depth': 6, 'model__criterion': 'gini', 'model__class_weight': 'balanced_subsample', 'model__bootstrap': False}",0.9538549050084738,0.9537182233934627,0.9735883294787404,0.9471442596442596,0.9595805133833303,0.9575772461816534,0.008921468002591679,37,0.9800949004558255,0.9718139418109292,0.985068243609078,0.9800887750605026,0.9801268566936436,0.9794385435259958,0.004269788163911934
3.023892879486084,0.19448287846550422,0.47780594825744627,0.193864686896235,700,4,2,sqrt,12,gini,balanced,True,"{'model__n_estimators': 700, 'model__min_samples_split': 4, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 12, 'model__criterion': 'gini', 'model__class_weight': 'balanced', 'model__bootstrap': True}",0.9735609457301845,0.9934199134199134,1.0,0.9735883294787404,0.9663928863928865,0.9813924150043449,0.012947003189588399,8,1.0,0.9983328702417338,0.9983382101253244,0.9983382101253244,0.9983439169106921,0.998670641480615,0.0006646884442246274
0.8717796802520752,0.1405930215042958,0.14949145317077636,0.024101500208431742,200,8,1,sqrt,10,entropy,,True,"{'model__n_estimators': 200, 'model__min_samples_split': 8, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__criterion': 'entropy', 'model__class_weight': None, 'model__bootstrap': True}",0.9735609457301845,0.9934199134199134,1.0,0.9801615760519871,0.9663928863928865,0.9827070643189943,0.012410432365467471,4,1.0,0.9966827052252322,0.9983382101253244,0.9983382101253244,0.9983439169106921,0.9983406084773148,0.0010490229614971852
1.1697941780090333,0.052590039753894036,0.24752583503723144,0.05506326311906805,200,2,5,0.8,16,entropy,balanced,True,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__max_features': 0.8, 'model__max_depth': 16, 'model__criterion': 'entropy', 'model__class_weight': 'balanced', 'model__bootstrap': True}",0.9604281563185673,0.9735064011379801,0.9801615760519871,0.9537448662448662,0.9594594594594594,0.9654600918425722,0.009792356265549095,31,0.986747426149198,0.9917321382793776,0.9900476884990611,0.9883955276579753,0.9850971045712504,0.9884039770313724,0.0023434198243759657
4.41057014465332,0.1387405155343847,0.6501622200012207,0.2960543570848531,700,8,3,,10,gini,balanced,False,"{'model__n_estimators': 700, 'model__min_samples_split': 8, 'model__min_samples_leaf': 3, 'model__max_features': None, 'model__max_depth': 10, 'model__criterion': 'gini', 'model__class_weight': 'balanced', 'model__bootstrap': False}",0.9538549050084738,0.9535883320093846,0.9669050394050394,0.9603295096716149,0.9595805133833303,0.9588516598955685,0.004903924320988922,34,0.9867642348562523,0.98179688557091,0.988392924063761,0.9850659643962473,0.9834369889745018,0.9850913995723346,0.0023362356788044656
3.847190427780151,0.6113806088270155,0.6341018199920654,0.15840727774448518,400,6,4,sqrt,,entropy,balanced_subsample,True,"{'model__n_estimators': 400, 'model__min_samples_split': 6, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__criterion': 'entropy', 'model__class_weight': 'balanced_subsample', 'model__bootstrap': True}",0.9669397003301113,0.9934199134199134,1.0,0.9735883294787404,0.9665681326604182,0.9801032151778367,0.01394372128165147,13,0.9983497630847993,0.9950325042605557,0.9950201505720293,0.9950201505720293,0.9966874341874342,0.9960220005353696,0.0013302473460065959
2.27470326423645,0.8705527465807709,0.315899133682251,0.07182889497662154,300,8,3,,16,gini,balanced_subsample,False,"{'model__n_estimators': 300, 'model__min_samples_split': 8, 'model__min_samples_leaf': 3, 'model__max_features': None, 'model__max_depth': 16, 'model__criterion': 'gini', 'model__class_weight': 'balanced_subsample', 'model__bootstrap': False}",0.9538549050084738,0.9535883320093846,0.9669050394050394,0.9603295096716149,0.9595805133833303,0.9588516598955685,0.004903924320988922,34,0.9867642348562523,0.98179688557091,0.988392924063761,0.9850659643962473,0.9834369889745018,0.9850913995723346,0.0023362356788044656
1.6082342147827149,0.048269398617607186,0.1979982376098633,0.05457039675504997,300,4,1,0.5,,gini,balanced_subsample,False,"{'model__n_estimators': 300, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': None, 'model__criterion': 'gini', 'model__class_weight': 'balanced_subsample', 'model__bootstrap': False}",0.9538549050084738,0.986842105263158,0.9801615760519871,0.9669050394050394,0.9598059598059598,0.9695139171069236,0.012327968879814485,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.6967204093933104,0.09666066641152482,0.30721492767333985,0.13100219012102987,500,10,1,0.5,12,entropy,balanced,True,"{'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 12, 'model__criterion': 'entropy', 'model__class_weight': 'balanced', 'model__bootstrap': True}",0.9604281563185673,0.9934199134199134,0.9801615760519871,0.9669050394050395,0.9731459408171738,0.9748121252025361,0.011375967157155826,19,0.9966996340188219,0.9950325042605557,0.9966825628330204,0.9983382101253244,0.9933760306786622,0.9960257883832769,0.001687634093818206
1.1805907249450684,0.09386221511829665,0.32676281929016116,0.05454148753986522,200,8,4,0.5,8,entropy,balanced,False,"{'model__n_estimators': 200, 'model__min_samples_split': 8, 'model__min_samples_leaf': 4, 'model__max_features': 0.5, 'model__max_depth': 8, 'model__criterion': 'entropy', 'model__class_weight': 'balanced', 'model__bootstrap': False}",0.9538549050084738,0.986842105263158,0.9802597402597403,0.9669050394050395,0.9462719298245614,0.9668267439521946,0.01530905090322885,27,0.9933817146860218,0.9950325042605557,0.9950268066165524,0.9950263708482265,0.9933747953603207,0.9943684383543354,0.0008084871625673998
